W_REGN,W_PSU,W_HHID,SFILLER,SET1,SET2,SREL,SSEX,SAGE,TLEFT,DATE_LEFT_MONTH,DATE_LEFT_YEAR,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,DATE_RETURNED_MONTH,DATE_RETURNED_YEAR,DATE_EXPECTED_MONTH,DATE_EXPECTED_YEAR,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,PRRCD,LFS_IND,P6M_IND
01,2823001000,03640223,0014213070016002,01,01,1,1,59,04,04,2000,2,4,0940,1,103,10,1,7233,31,1,05,2001,,,2,,,2,,2,,00332.4874,,2,2
01,2823001000,03650237,0014213070016002,01,01,3,2,45,02,04,2003,2,4,0210,6,018,88,1,5131,70,2,,,88,8888,1,040000,4,1,050000,1,004000,00332.4874,,2,
01,2903012000,00130147,0011212330017502,01,02,3,2,35,01,12,1998,1,4,1314,1,039,60,1,9131,60,2,,,12,2003,1,026000,1,2,,2,,00347.2774,,1,1
01,2903012000,00130147,0011212330017502,02,02,3,2,33,02,04,2002,1,4,9211,1,089,37,1,8259,59,2,,,05,2005,1,018000,1,2,,2,,00381.3059,,1,1
01,2903012000,00140159,0011212330017502,01,01,4,1,25,02,11,2002,2,6,6111,1,094,17,1,8340,35,2,,,04,2004,1,072000,1,2,,2,,00379.7926,,1,1
01,2903012000,00180206,0011212330017502,01,01,4,1,21,01,12,2001,2,4,6111,1,081,22,1,7142,22,2,,,12,2004,1,018000,1,2,,2,,00353.6104,,1,1
01,2903030000,00250050,0014211370016902,01,01,3,2,32,04,07,2002,1,7,0210,1,081,12,1,2231,48,1,07,2003,,,1,015000,1,1,100000,2,,00381.3059,,1,1
01,2904006000,00350009,0014212140018102,01,01,2,2,40,02,09,2002,2,3,9211,1,010,24,1,9131,28,1,01,2003,,,2,,,2,,2,,00333.2453,,2,2
01,2906027000,00500013,0013222340020702,01,02,3,2,34,01,01,2003,1,4,0210,3,035,88,1,9131,08,2,,,88,8888,1,030000,1,2,,2,,00382.1732,,1,1
01,2906027000,00500013,0013222340020702,02,02,3,2,33,01,01,2003,1,4,0210,3,035,88,1,9131,08,2,,,88,8888,2,,,2,,2,,00382.1732,,1,1
01,2906027000,00560099,0013222340020702,01,01,3,1,48,02,05,2001,1,7,0232,1,035,88,1,3473,46,2,,,03,2005,1,030000,1,2,,2,,00331.7276,,1,1
01,2906027000,00570113,0013222340020702,01,01,2,2,29,03,12,2002,2,6,0210,3,018,88,1,9131,36,2,,,12,2004,1,018000,1,2,,2,,00382.1732,,1,1
01,2906027000,00580129,0013222340020702,01,01,2,2,35,02,03,2002,2,4,0210,3,035,88,1,9131,99,2,,,88,8888,2,,,2,,2,,00348.0672,,1,1
01,2906040000,00690045,0013213310020002,01,02,2,1,53,03,11,2001,2,4,0210,3,035,88,1,9131,48,2,,,88,8888,1,060000,1,2,,2,,00332.2295,,1,1
01,2906040000,00690045,0013213310020002,02,02,3,2,33,01,04,2003,1,7,0210,1,089,24,1,9131,06,2,,,04,2005,2,,,2,,2,,00382.7513,,1,1
01,2906040000,00700068,0013213310020002,01,01,6,2,25,01,12,2002,1,7,5220,1,089,24,1,9131,09,1,09,2003,,,2,,,1,100000,2,,00334.5086,,2,1
01,2906040000,00720118,0013213310020002,01,01,3,2,35,01,03,2003,1,6,4211,1,089,36,1,9131,07,2,,,03,2006,2,,,2,,2,,00348.5938,,1,1
01,2906040000,00730143,0013213310020002,01,01,1,2,47,02,04,2001,4,3,0210,1,039,24,1,9131,55,1,04,2003,,,2,,,1,030000,2,,00334.5086,,2,1
01,2907002000,00880015,0013211270021402,01,01,3,2,31,02,01,2001,1,5,0210,1,039,38,1,9131,60,2,,,03,2004,1,010000,1,2,,2,,00381.3059,,1,1
01,2907002000,00940071,0013211270021402,01,01,3,2,36,03,07,2000,4,5,9211,1,082,88,1,9131,60,2,,,88,8888,1,048000,1,2,,2,,00347.2774,,1,1
01,2907002000,01010132,0013211270021402,02,03,4,1,34,05,07,2003,2,5,0232,1,035,09,1,8340,45,2,,,04,2004,1,040000,1,2,,2,,00379.7926,,1,1
01,2907002000,01010132,0013211270021402,01,03,1,1,57,02,11,1999,2,3,0232,1,035,02,1,8340,19,1,01,2000,,,2,,,2,,2,,00374.0972,,1,2
01,2907002000,01010132,0013211270021402,03,03,4,1,29,04,07,2003,2,7,0232,1,035,06,1,8340,36,2,,,04,2004,1,040000,1,2,,2,,00379.7926,,1,1
01,2909022000,01410007,0011222020022202,02,02,3,2,29,01,06,2001,2,4,9211,1,046,48,2,,,2,,,06,2005,1,030000,1,2,,2,,00382.1732,,1,2
01,2909022000,01410007,0011222020022202,01,02,2,2,53,02,12,1999,2,2,0232,1,021,60,1,9131,58,2,,,12,2004,1,010000,1,2,,2,,00333.0483,,1,1
01,2909022000,01500040,0011222020022202,01,01,3,2,37,02,11,2002,4,4,0232,1,039,24,1,9131,60,2,,,11,2004,1,015000,1,2,,2,,00348.0672,,1,1
01,2909022000,01530050,0011222020022202,02,02,3,2,29,01,03,1999,1,4,9211,1,081,24,1,9131,54,2,,,03,2005,1,025000,1,2,,2,,00382.1732,,1,1
01,2909022000,01530050,0011222020022202,01,02,4,1,22,01,04,2003,2,6,9211,1,050,24,2,,,2,,,04,2005,1,080000,1,2,,2,,00354.4146,,1,2
01,2909022000,01540054,0011222020022202,01,01,6,2,33,01,11,2002,2,4,9211,1,054,24,2,,,2,,,11,2004,2,,,2,,2,,00382.1732,,1,2
01,2912015000,01740130,0013221230022702,01,01,2,2,41,01,03,2003,2,2,9211,1,103,24,1,9131,07,2,,,04,2005,1,030000,4,2,,2,,00347.2774,,1,1
01,2915007000,01860184,0011221030025002,01,01,2,2,36,01,10,2002,2,4,0210,1,039,24,1,9131,12,2,,,10,2004,1,025000,1,2,,2,,00367.7055,,1,1
01,2916014000,01950006,0011213100025402,01,01,3,2,16,01,05,2003,1,3,9211,1,057,24,2,,,2,,,05,2005,2,,,2,,2,,00356.3639,,1,2
01,2916014000,01990018,0011213100025402,02,02,3,1,28,01,10,2002,1,7,9211,1,089,24,2,,,2,,,10,2004,2,,,2,,2,,00381.2323,,1,2
01,2916014000,01990018,0011213100025402,01,02,2,2,49,02,05,2002,2,4,0232,1,089,24,1,8259,60,2,,,05,2004,1,060000,1,2,,2,,00333.5521,,1,1
01,2920025000,02170046,0014221320026802,01,01,2,2,31,02,10,2001,2,3,0210,1,082,37,1,9131,36,2,,,11,2004,1,020000,4,2,,2,,00381.3059,,1,1
01,2920025000,02240100,0014221320026802,01,03,3,1,27,01,11,2002,2,4,0232,1,089,27,1,8232,11,2,,,12,2005,1,017000,4,2,,2,,00379.7926,,1,1
01,2920025000,02240100,0014221320026802,02,03,3,2,30,02,09,2003,1,6,0210,1,039,27,1,9131,34,2,,,10,2005,2,,,2,,2,,00381.3059,,1,1
01,2920025000,02240100,0014221320026802,03,03,3,2,25,01,12,2001,1,7,0210,1,089,24,1,9322,22,2,,,12,2003,1,040000,4,2,,2,,00381.3059,,1,1
01,2923001000,02370129,0011221180027802,01,01,2,1,57,01,99,1999,2,4,1311,1,047,88,1,9131,48,2,,,88,8888,1,060000,1,2,,2,,00374.0972,,1,1
01,2925015000,02630003,0012222240029202,01,01,3,2,22,01,04,2003,1,7,0210,1,089,36,1,9322,05,2,,,04,2006,1,025000,1,2,,2,,00355.8256,,1,1
01,2925015000,02640006,0012222240029202,01,02,3,2,32,01,07,2000,1,6,9211,1,035,88,1,5131,38,2,,,88,8888,1,060000,1,2,,2,,00382.1732,,1,1
01,2925015000,02640006,0012222240029202,02,02,3,2,30,01,03,1999,2,7,0210,1,050,54,1,8232,54,1,09,2003,,,1,025000,1,1,015000,2,,00382.1732,,1,1
01,2925015000,02650009,0012222240029202,01,01,2,1,56,10,07,2003,2,2,7231,1,089,06,1,8232,58,2,,,12,2003,1,018000,1,1,010000,2,,00374.9481,,1,1
01,2925015000,02670015,0012222240029202,01,01,3,2,39,02,07,2001,1,6,4222,1,039,33,1,9131,36,2,,,04,2004,1,036000,1,2,,1,005000,00348.0672,,1,1
01,2925015000,02680018,0012222240029202,01,01,2,1,45,02,06,2003,2,4,6111,1,083,17,1,8322,60,2,,,05,2004,1,040000,1,1,021000,2,,00331.7276,,1,1
01,2925015000,02690021,0012222240029202,01,01,2,2,45,02,04,2002,2,6,9211,1,046,24,1,5133,08,2,,,04,2004,1,056400,1,2,,2,,00333.0483,,1,1
01,2925015000,02700024,0012222240029202,01,01,3,1,31,01,07,2001,1,4,6111,1,089,36,1,9322,24,2,,,07,2004,1,060000,1,2,,2,,00380.6564,,1,1
01,2927008000,03020060,0012213210031402,01,01,3,2,29,02,05,2001,1,6,0232,1,081,36,1,2232,60,2,,,04,2004,1,040000,1,2,,2,,00382.7513,,1,1
01,2927008000,03030070,0012213210031402,01,01,4,2,24,01,08,2002,2,6,0210,1,039,24,1,9131,13,2,,,07,2004,1,020000,1,2,,2,,00334.5086,,2,1
01,2927008000,03070111,0012213210031402,02,02,5,1,23,01,03,2001,1,7,0232,1,089,36,1,8273,30,2,,,02,2004,1,120000,1,2,,2,,00354.9508,,1,1
01,2927008000,03070111,0012213210031402,01,02,3,1,55,01,10,1998,4,7,3115,1,056,16,1,7123,16,1,04,2000,,,2,,,2,,2,,00375.5153,,1,2
01,2927008000,03110149,0012213210031402,01,01,3,2,29,02,08,2001,1,4,0210,1,089,36,1,9131,60,2,,,07,2004,1,040000,4,2,,2,,00382.7513,,1,1
01,2930037000,03320061,0014222130033002,01,01,2,2,40,01,03,2001,2,3,9211,1,082,36,1,9131,30,2,,,03,2004,1,010000,3,2,,2,,00348.0672,,1,1
01,2930037000,03330066,0014222130033002,01,02,3,1,28,01,08,2003,2,3,6111,1,081,24,1,9132,01,2,,,08,2005,2,,,2,,2,,00380.6564,,1,1
01,2930037000,03330066,0014222130033002,02,02,3,2,35,02,03,2000,1,4,0210,1,094,36,1,9131,43,2,,,12,2003,1,030000,1,2,,2,,00348.0672,,1,1
01,3301008000,00020028,0012221170037102,01,02,1,1,47,04,07,2003,2,4,9211,1,051,12,1,9151,60,2,,,06,2004,1,007000,1,1,030000,1,002500,00331.9786,,1,1
01,3301008000,00020028,0012221170037102,02,02,3,1,25,01,05,2002,1,5,5169,1,051,18,1,9151,17,2,,,12,2003,2,,,2,,2,,00380.9443,,1,1
01,3301008000,00110152,0012221170037102,01,01,2,2,44,02,12,2001,2,6,0210,1,039,24,1,9131,60,2,,,12,2003,1,060000,1,2,,1,006000,00348.3305,,1,1
01,3303025000,00410015,0011212110039902,01,01,1,1,32,04,12,2002,2,6,5220,1,081,09,1,7123,54,1,09,2003,,,1,072000,1,1,000000,2,,00390.0465,,1,1
01,3306010000,00760018,0014212260042202,01,01,3,2,30,02,02,2003,2,7,0940,6,096,88,2,,,2,,,88,8888,1,033000,3,2,,2,,00381.0168,,1,
01,3306010000,00780034,0014212260042202,01,01,2,2,54,02,11,2000,2,3,9111,1,081,37,1,9131,57,2,,,12,2003,1,037000,4,2,,2,,00332.0406,,1,1
01,3306010000,00850090,0014212260042202,01,01,1,1,41,05,01,2003,2,7,2332,1,015,10,1,2332,50,2,,,11,2003,1,086000,1,2,,2,,00345.6366,,1,1
01,3306010000,00880113,0014212260042202,01,01,3,1,28,01,07,2002,1,6,9211,1,050,36,1,7436,12,2,,,07,2005,1,053000,1,2,,2,,00379.5046,,1,1
01,3306010000,00890121,0014212260042202,01,01,2,2,38,01,03,2002,2,4,0210,1,082,24,1,9131,18,2,,,03,2004,1,052500,1,2,,1,001860,00347.0141,,1,1
01,3306010000,00900129,0014212260042202,01,01,1,1,28,01,07,2003,2,3,8322,1,081,24,1,5123,03,2,,,03,2005,1,007200,4,2,,2,,00379.5046,,1,1
01,3306015000,01030155,0011231320041702,01,01,3,2,26,01,09,2003,1,7,0210,1,053,24,1,9131,01,2,,,09,2005,2,,,2,,2,,00378.1259,,1,1
01,3306019000,01120041,0011221250042302,01,01,3,2,25,01,03,1999,2,4,0210,1,081,36,1,9131,39,1,06,2002,,,2,,,2,,2,,00334.2559,,2,2
01,3306019000,01130052,0011221250042302,02,02,3,2,24,02,07,2001,1,7,4211,1,021,30,1,3473,26,2,,,01,2004,1,010000,5,2,,1,003300,00356.0947,,1,1
01,3306019000,01130052,0011221250042302,01,02,3,2,29,01,05,1999,1,6,0940,1,039,88,1,9131,52,2,,,88,8888,1,008000,4,2,,1,009100,00382.4623,,1,1
01,3306019000,01190114,0011221250042302,02,02,6,1,39,02,08,2003,1,4,0940,1,081,11,1,8322,59,2,,,07,2004,2,,,1,010000,2,,00346.9478,,1,1
01,3306019000,01190114,0011221250042302,01,02,6,2,43,04,08,2003,1,2,7432,1,082,11,1,9131,55,2,,,07,2004,1,030000,1,1,150000,1,008000,00348.3305,,1,1
01,3306019000,01210135,0011221250042302,01,01,1,1,41,01,04,2003,2,4,7241,1,094,06,1,7241,05,2,,,10,2003,1,024000,4,2,,2,,00346.9478,,1,1
01,3306026000,01570129,0011211250041902,01,01,3,2,28,02,05,2003,1,7,4223,1,082,08,1,2231,36,2,,,01,2004,1,023500,4,1,020000,2,,00381.5950,,1,1
01,3307005000,01640036,0011222120043702,01,01,2,1,33,01,03,2003,2,4,7231,1,081,24,1,7142,07,2,,,99,2005,2,,,2,,2,,00378.0649,,1,1
01,3307005000,01650053,0011222120043702,02,02,3,2,22,01,01,2003,1,7,5220,1,082,24,1,9131,08,2,,,12,2005,2,,,2,,2,,00353.4032,,1,1
01,3307005000,01650053,0011222120043702,01,02,2,2,47,01,11,1998,2,4,0210,1,039,88,1,9131,59,2,,,88,8888,1,018000,4,2,,2,,00330.7809,,1,1
01,3307014002,01810031,0013211160043902,01,01,2,2,31,02,05,2003,2,7,9112,1,039,24,1,9131,12,2,,,05,2005,1,076000,4,2,,2,,00381.5950,,1,1
01,3307022000,01940046,0013232080044302,01,01,4,2,36,02,01,2003,2,6,5220,1,039,24,1,9131,43,1,07,2003,,,1,015000,1,1,030000,2,,00341.8354,,2,1
01,3307022000,01980116,0013232080044302,01,01,2,1,27,04,08,2003,2,7,6212,1,057,06,1,7241,36,2,,,01,2004,1,010000,1,2,,2,,00389.5825,,1,1
01,3307022000,02000144,0013232080044302,01,01,4,1,30,02,08,2002,2,6,5169,1,089,16,1,8143,37,2,,,10,2003,1,060000,1,2,,1,030000,00389.5825,,1,1
01,3307022000,02020177,0013232080044302,01,01,2,2,31,01,10,2002,2,5,9211,1,039,24,1,9131,12,2,,,10,2004,1,022500,4,2,,1,002000,00391.1349,,1,1
01,3307022000,02080272,0013232080044302,01,01,2,1,42,01,06,2002,2,6,7123,1,081,24,1,7123,15,2,,,06,2004,1,036000,1,2,,2,,00354.8151,,1,1
01,3307037000,02130087,0013212030043402,01,01,6,2,50,04,01,2003,2,4,0210,3,096,11,1,5132,60,2,,,12,2003,1,008000,1,2,,1,001600,00341.2639,,1,1
01,3307037000,02250305,0013212030043402,01,01,4,1,33,01,10,1999,2,6,9213,1,050,50,1,7242,48,2,,,11,2003,1,060000,1,2,,1,009000,00390.0465,,1,1
01,3308004000,02280003,0012222030044402,01,01,2,2,34,02,08,2003,2,4,0210,1,094,24,1,9131,24,2,,,08,2005,2,,,1,025000,2,,00390.1151,,1,1
01,3308004000,02330013,0013222030044402,01,01,3,1,22,01,09,2003,1,6,9211,1,094,24,1,5123,01,2,,,09,2005,2,,,2,,2,,00352.0018,,1,1
01,3309006000,02470024,0012222190044802,01,01,2,2,43,02,02,2002,2,7,0210,1,039,24,1,9131,60,2,,,06,2004,1,018000,1,2,,2,,00345.6976,,1,1
01,3309006000,02500071,0012222190044802,01,01,3,2,22,01,06,2002,1,4,5220,1,054,24,1,9131,16,2,,,06,2004,1,034000,4,2,,2,,00353.4032,,1,1
01,3309013000,02680131,0012232160045002,01,01,2,2,31,02,03,2001,2,4,0231,1,082,32,1,9131,48,2,,,12,2003,1,060000,1,2,,2,,00391.1349,,1,1
01,3310036000,02930080,0014222270045702,01,01,6,2,51,02,08,2001,4,6,0210,1,039,28,1,9131,60,2,,,10,2003,1,051000,1,2,,1,008000,00330.7809,,1,1
01,3311018000,03060085,0014231150046302,02,02,6,2,54,05,03,2001,3,4,0210,1,039,36,1,9131,60,2,,,03,2004,1,018000,1,2,,1,004000,00329.5213,,1,1
01,3311018000,03060085,0014231150046302,01,02,2,1,34,01,12,2002,2,4,7231,1,081,13,1,7212,09,2,,,01,2004,1,042000,4,2,,2,,00376.6253,,1,1
01,3311018000,03080104,0014231150046302,01,01,2,1,37,02,05,2003,2,7,8321,1,089,24,1,8124,24,2,,,05,2005,1,090000,1,1,050000,1,001320,00343.0141,,1,1
01,3311018000,03110135,0014231150046302,01,01,1,1,53,01,07,2003,2,7,2152,4,096,06,2,,,2,,,01,2004,2,,,2,,2,,00328.2146,,1,2
01,3314057004,03170010,0012211090049702,01,01,2,2,40,01,04,2002,2,4,0210,1,039,22,1,9131,18,2,,,02,2004,1,018000,1,2,,1,000800,00347.5406,,1,1
01,3314057004,03190060,0012211090049702,01,01,2,2,42,02,06,2001,2,6,0210,1,039,24,1,9131,24,1,06,2003,,,1,024000,1,1,016000,1,007500,00342.2743,,2,1
01,3314059003,03400116,0014211040049802,01,01,2,2,27,03,09,2003,2,4,0210,1,039,22,1,9131,28,2,,,07,2005,1,034000,1,1,030000,2,,00391.6370,,1,1
01,3314059003,03470294,0014211040049802,01,01,6,2,38,02,07,2003,4,6,0210,1,039,23,1,9131,02,2,,,06,2005,1,042000,1,2,,2,,00356.6864,,1,1
01,3317015000,03580120,0013221340053202,01,01,3,2,28,01,12,2001,1,6,7435,1,082,24,1,9131,21,2,,,12,2003,1,005000,1,2,,2,,00382.4623,,1,1
01,3317015000,03590140,0013221340053202,01,01,4,2,28,01,01,2003,2,6,0210,1,082,34,1,9131,08,2,,,12,2005,1,013000,1,2,,2,,00382.4623,,1,1
01,3317015000,03630234,0013221340053202,01,01,6,1,60,05,05,2003,2,7,2460,6,096,12,1,4121,60,2,,,04,2004,1,095000,1,1,150000,1,017500,00334.2559,,2,
01,3317015000,03670323,0013221340053202,01,01,3,1,36,03,02,2003,1,6,9211,1,066,10,1,9333,24,2,,,12,2003,1,105000,1,2,,2,,00346.9478,,1,1
01,3317020000,03740040,0014232320053102,01,01,2,2,28,01,07,2003,2,6,6212,1,051,25,1,9131,02,2,,,06,2005,2,,,2,,2,,00379.2823,,1,1
01,3319011000,03950044,0012231060054302,01,01,3,2,33,03,02,2002,3,2,0210,1,081,24,1,9131,40,1,06,2003,,,1,012500,4,1,065000,1,043000,00378.1259,,1,1
01,3319011000,04040115,0012231060054302,01,01,2,2,41,03,11,2000,2,2,0210,1,039,22,1,9131,44,1,08,2002,,,2,,,2,,2,,00330.4662,,2,2
01,3319011000,04050123,0012231060054302,01,01,2,2,33,02,02,2003,2,4,0210,1,039,24,1,9131,28,2,,,02,2005,1,021000,4,2,,1,035000,00378.1259,,1,1
01,3319011000,04070139,0012231060054302,01,01,2,2,47,03,03,2001,2,4,0210,1,039,88,1,9131,57,2,,,88,8888,1,020000,1,2,,2,,00329.5213,,1,1
01,5501003002,00190326,0013272230055502,01,01,3,1,36,01,01,2003,1,4,9211,1,052,12,1,5122,09,2,,,01,2004,1,020000,1,2,,2,,00344.5876,,1,1
01,5502008002,00240005,0011253110056002,01,01,1,2,54,01,11,1999,3,7,0210,1,094,24,1,9131,32,1,07,2002,,,2,,,2,,2,,00333.2453,,2,2
01,5502008002,00250030,0011253110056002,01,01,2,1,45,04,11,2002,2,7,6111,1,082,12,1,8340,46,2,,,11,2003,1,126000,1,2,,2,,00330.9748,,1,1
01,5502008002,00390343,0011253110056002,01,01,2,1,45,99,99,9999,2,6,9999,1,999,99,9,9999,99,9,99,9999,,,9,999999,9,9,999999,9,999999,00330.9748,,1,2
01,5502013000,00480154,0013243120055902,01,01,3,2,29,01,12,1998,1,6,0940,1,039,24,1,9131,52,1,03,2003,,,2,,,2,,2,,00381.8841,,1,2
01,5502013000,00490173,0013243120055902,01,01,2,2,33,02,08,2001,2,4,0210,1,039,24,1,9131,26,1,12,2002,,,1,030000,4,2,,2,,00381.8841,,1,2
01,5502013000,00570313,0013243120055402,01,01,2,2,47,03,08,2003,2,2,0940,4,082,04,2,,,2,,,12,2003,2,,,2,,2,,00332.7964,,1,2
01,5503031001,00630009,0012233150058002,01,01,1,1,32,02,06,1999,2,4,5122,1,089,36,1,7243,36,1,06,2002,,,2,,,2,,2,,00399.1506,,1,2
01,5503031001,00670109,0012233150058002,01,01,1,1,43,02,08,2003,2,4,6111,1,035,16,1,8155,09,2,,,03,2004,2,,,2,,2,,00378.5607,,1,1
01,5503031001,00860584,0012233150058002,01,01,3,1,27,01,10,2001,1,6,5123,1,081,24,1,5123,23,1,09,2003,,,1,020000,4,1,030000,1,028000,00415.6549,,1,1
01,5506017000,01420234,0013211220061702,01,01,3,2,32,01,01,2003,2,7,4190,1,082,24,1,9131,08,2,,,01,2005,2,,,2,,2,,00393.6061,,1,1
01,5506022000,01670579,0014232290061802,01,01,4,2,32,01,07,2003,2,6,5220,1,039,24,1,9131,03,2,,,07,2005,1,020000,4,2,,2,,00392.9236,,1,1
01,5507020000,01680005,0014252140062702,01,01,2,2,39,01,03,2002,2,4,9211,1,053,24,1,9131,18,2,,,04,2004,1,026000,2,2,,2,,00357.0437,,1,1
01,5507020000,01740086,0014252140062702,01,01,3,2,28,01,11,1998,1,4,0210,6,096,24,1,8273,58,2,,,10,2003,1,009000,4,2,,2,,00403.1889,,1,
01,5507020000,01750099,0014252140062702,01,01,2,1,34,02,02,2003,2,4,9211,1,081,24,1,5220,31,2,,,12,2005,1,028000,4,2,,2,,00401.5887,,1,1
